Timestamp,BTC_USD,BTC_BDT,ETH_USD,ETH_BDT,SOL_USD,SOL_BDT
2026-08-13 18:25:03,63502,7823915,1881.61,231829,75.73,9330.12
2026-08-13 18:25:31,63502,7823915,1881.61,231829,75.73,9330.12
2026-08-13 18:26:12,63505,7824267,1881.79,231852,75.74,9332.11
2026-08-13 18:26:28,63505,7824267,1881.79,231852,75.74,9332.11
2026-08-16 20:26:29,63037,7728751,1882.22,230773,75.31,9233.07
2026-08-21 12:14:57,75275,9209444,2365.58,289415,90.7,11097.01
